Date,Time,Platform,Post_UID,Text,Media_Path
2026-10-11,08:00,YouTube,EP05-SUN-YOUTUBE-LONG-FORM-045,"Full video essay exploring Surah Ash-Sharh 94:1–8 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.

#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection",/mnt/AI/ag/Campaign/10_VIDEO/QURAN-COMEBACK-VIDEO-005.md | /mnt/AI/ag/Campaign/09_IMAGE/QURAN-COMEBACK-EASE-005.jpg
2026-10-12,12:00,YouTube Shorts / Reels / TikTok,EP05-MON-YOUTUBE-VERTICAL-046,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? When Life Becomes Heavy. #Shorts

#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md
2026-10-13,12:00,YouTube Shorts / Reels / TikTok,EP05-TUE-YOUTUBE-VERTICAL-047,"Listen to this verse with an open heart. Surah Ash-Sharh 94:1–8. What is Allah asking of you right now?

#QuranAyah #DailyQuran #Tadabbur #HuursStudio",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md
2026-10-13,15:00,WhatsApp Status / Telegram Channel,EP05-TUE-WHATSAPP-REFLECTION-048,"🌿 *Huurs Daily Contemplation — Episode 5*

""Surah Ash-Sharh 94:1–8""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.

#DailyReflection",/mnt/AI/ag/Campaign/14_SOCIAL/renders/whatsapp_card_005.png
2026-10-14,12:00,YouTube Shorts / Reels / TikTok,EP05-WED-YOUTUBE-VERTICAL-049,"Don't change everything overnight. Just commit 5 minutes tonight to Surah Ash-Sharh 94:1–8. Here's the exact micro-routine.

#QuranHabit #ProductiveMuslim #Consistency",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md
2026-10-14,16:00,Instagram,EP05-WED-INSTAGRAM-10-SLIDE-050,"Come back to the Qur'an with Episode 5: When Life Becomes Heavy. Focus on Surah Ash-Sharh 94:1–8. Read it. Understand it. Live it.

#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio",/mnt/AI/ag/Campaign/14_SOCIAL/renders/carousel_005
2026-10-15,12:00,YouTube Shorts / Reels / TikTok,EP05-THU-YOUTUBE-VERTICAL-051,"An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? When Life Becomes Heavy.

#DeepQuestion #HeartAudit #FaithReflection",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md
2026-10-15,17:00,Email / Substack Newsletter,EP05-THU-EMAIL-CONTEMPLATION-052,"Weekly broadcast dropping the complete pedagogical context of Surah Ash-Sharh 94:1–8, classical tafsir insights from Ibn Kathir, and guided journal prompts.

#Newsletter #EmailBroadcast",/mnt/AI/ag/Campaign/15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md
2026-10-16,07:00,YouTube Shorts / Reels / TikTok,EP05-FRI-YOUTUBE-VERTICAL-053,"Jummah Mubarak. As you prepare for prayer, remember: Surah Ash-Sharh 94:1–8. A mind that rushes through life misses the peace of the Qur'an.

#JummahMubarak #FridayReflection #Tartil",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md
2026-10-16,10:00,Twitter / X,EP05-FRI-TWITTER-10-POST-054,"1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Ash-Sharh 94:1–8. 🧵

#Quran #Islam #Tadabbur #Wisdom",/mnt/AI/ag/Campaign/14_SOCIAL/QURAN-COMEBACK-SOCIAL-005.md
2026-10-17,09:00,Spotify / Apple Podcasts / Web,EP05-SAT-SPOTIFY-SPOKEN-055,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. When Life Becomes Heavy.

#IslamicPodcast #CalmReflection #MorningRoutine",/mnt/AI/ag/Campaign/11_AUDIO/QURAN-COMEBACK-AUDIO-005.md
