Date,Time,Platform,Post_UID,Text,Media_Path
2026-09-20,08:00,YouTube,EP02-SUN-YOUTUBE-LONG-FORM-012,"Full video essay exploring Surah Al-Baqarah 2:2 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.

#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection",/mnt/AI/ag/Campaign/10_VIDEO/QURAN-COMEBACK-VIDEO-002.md | /mnt/AI/ag/Campaign/09_IMAGE/QURAN-COMEBACK-GUIDANCE-002.jpg
2026-09-21,12:00,YouTube Shorts / Reels / TikTok,EP02-MON-YOUTUBE-VERTICAL-013,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? What Is the Qur'an Actually For?. #Shorts

#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md
2026-09-22,12:00,YouTube Shorts / Reels / TikTok,EP02-TUE-YOUTUBE-VERTICAL-014,"Listen to this verse with an open heart. Surah Al-Baqarah 2:2. What is Allah asking of you right now?

#QuranAyah #DailyQuran #Tadabbur #HuursStudio",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md
2026-09-22,15:00,WhatsApp Status / Telegram Channel,EP02-TUE-WHATSAPP-REFLECTION-015,"🌿 *Huurs Daily Contemplation — Episode 2*

""Surah Al-Baqarah 2:2""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.

#DailyReflection",/mnt/AI/ag/Campaign/14_SOCIAL/renders/whatsapp_card_002.png
2026-09-23,12:00,YouTube Shorts / Reels / TikTok,EP02-WED-YOUTUBE-VERTICAL-016,"Don't change everything overnight. Just commit 5 minutes tonight to Surah Al-Baqarah 2:2. Here's the exact micro-routine.

#QuranHabit #ProductiveMuslim #Consistency",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md
2026-09-23,16:00,Instagram,EP02-WED-INSTAGRAM-10-SLIDE-017,"Come back to the Qur'an with Episode 2: What Is the Qur'an Actually For?. Focus on Surah Al-Baqarah 2:2. Read it. Understand it. Live it.

#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio",/mnt/AI/ag/Campaign/14_SOCIAL/renders/carousel_002
2026-09-24,12:00,YouTube Shorts / Reels / TikTok,EP02-THU-YOUTUBE-VERTICAL-018,"An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? What Is the Qur'an Actually For?.

#DeepQuestion #HeartAudit #FaithReflection",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md
2026-09-24,17:00,Email / Substack Newsletter,EP02-THU-EMAIL-CONTEMPLATION-019,"Weekly broadcast dropping the complete pedagogical context of Surah Al-Baqarah 2:2, classical tafsir insights from Ibn Kathir, and guided journal prompts.

#Newsletter #EmailBroadcast",/mnt/AI/ag/Campaign/15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md
2026-09-25,07:00,YouTube Shorts / Reels / TikTok,EP02-FRI-YOUTUBE-VERTICAL-020,"Jummah Mubarak. As you prepare for prayer, remember: Surah Al-Baqarah 2:2. A mind that rushes through life misses the peace of the Qur'an.

#JummahMubarak #FridayReflection #Tartil",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md
2026-09-25,10:00,Twitter / X,EP02-FRI-TWITTER-10-POST-021,"1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Al-Baqarah 2:2. 🧵

#Quran #Islam #Tadabbur #Wisdom",/mnt/AI/ag/Campaign/14_SOCIAL/QURAN-COMEBACK-SOCIAL-002.md
2026-09-26,09:00,Spotify / Apple Podcasts / Web,EP02-SAT-SPOTIFY-SPOKEN-022,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. What Is the Qur'an Actually For?.

#IslamicPodcast #CalmReflection #MorningRoutine",/mnt/AI/ag/Campaign/11_AUDIO/QURAN-COMEBACK-AUDIO-002.md
