Date,Time,Platform,Post_UID,Text,Media_Path
2026-11-15,08:00,YouTube,EP10-SUN-YOUTUBE-LONG-FORM-100,"Full video essay exploring Surah Ar-Ra'd & Ibrahim and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.

#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection",/mnt/AI/ag/Campaign/10_VIDEO/QURAN-COMEBACK-VIDEO-010.md | /mnt/AI/ag/Campaign/09_IMAGE/QURAN-COMEBACK-TREE-010.jpg
2026-11-16,12:00,YouTube Shorts / Reels / TikTok,EP10-MON-YOUTUBE-VERTICAL-101,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? 30 Days From Now, You Could Be Different. #Shorts

#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md
2026-11-17,12:00,YouTube Shorts / Reels / TikTok,EP10-TUE-YOUTUBE-VERTICAL-102,"Listen to this verse with an open heart. Surah Ar-Ra'd & Ibrahim. What is Allah asking of you right now?

#QuranAyah #DailyQuran #Tadabbur #HuursStudio",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md
2026-11-17,15:00,WhatsApp Status / Telegram Channel,EP10-TUE-WHATSAPP-REFLECTION-103,"🌿 *Huurs Daily Contemplation — Episode 10*

""Surah Ar-Ra'd & Ibrahim""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.

#DailyReflection",/mnt/AI/ag/Campaign/14_SOCIAL/renders/whatsapp_card_010.png
2026-11-18,12:00,YouTube Shorts / Reels / TikTok,EP10-WED-YOUTUBE-VERTICAL-104,"Don't change everything overnight. Just commit 5 minutes tonight to Surah Ar-Ra'd & Ibrahim. Here's the exact micro-routine.

#QuranHabit #ProductiveMuslim #Consistency",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md
2026-11-18,16:00,Instagram,EP10-WED-INSTAGRAM-10-SLIDE-105,"Come back to the Qur'an with Episode 10: 30 Days From Now, You Could Be Different. Focus on Surah Ar-Ra'd & Ibrahim. Read it. Understand it. Live it.

#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio",/mnt/AI/ag/Campaign/14_SOCIAL/renders/carousel_010
2026-11-19,12:00,YouTube Shorts / Reels / TikTok,EP10-THU-YOUTUBE-VERTICAL-106,"An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? 30 Days From Now, You Could Be Different.

#DeepQuestion #HeartAudit #FaithReflection",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md
2026-11-19,17:00,Email / Substack Newsletter,EP10-THU-EMAIL-CONTEMPLATION-107,"Weekly broadcast dropping the complete pedagogical context of Surah Ar-Ra'd & Ibrahim, classical tafsir insights from Ibn Kathir, and guided journal prompts.

#Newsletter #EmailBroadcast",/mnt/AI/ag/Campaign/15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md
2026-11-20,07:00,YouTube Shorts / Reels / TikTok,EP10-FRI-YOUTUBE-VERTICAL-108,"Jummah Mubarak. As you prepare for prayer, remember: Surah Ar-Ra'd & Ibrahim. A mind that rushes through life misses the peace of the Qur'an.

#JummahMubarak #FridayReflection #Tartil",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-010.md
2026-11-20,10:00,Twitter / X,EP10-FRI-TWITTER-10-POST-109,"1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Ar-Ra'd & Ibrahim. 🧵

#Quran #Islam #Tadabbur #Wisdom",/mnt/AI/ag/Campaign/14_SOCIAL/QURAN-COMEBACK-SOCIAL-010.md
2026-11-21,09:00,Spotify / Apple Podcasts / Web,EP10-SAT-SPOTIFY-SPOKEN-110,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. 30 Days From Now, You Could Be Different.

#IslamicPodcast #CalmReflection #MorningRoutine",/mnt/AI/ag/Campaign/11_AUDIO/QURAN-COMEBACK-AUDIO-010.md
